,datetime,timestamp,open,high,low,close,volume,inflow_start_time,inflow_inflow_mean,inflow_inflow_mean_ma7,inflow_inflow_top10,inflow_inflow_total,outflow_start_time,outflow_outflow_mean,outflow_outflow_mean_ma7,outflow_outflow_top10,outflow_outflow_total,netflow_start_time,netflow_netflow_total,utxo_created_value_median,returns,volatility,volume_ma,target,hour,day_of_week,Time,zscore,signal,position,strategy_returns,equity,market,trades,fees,net_equity
25618,2025-03-14 05:00:00,1741928400000,81948.17,82218.03,81820.22,82141.96,622.41868,1741928400000.0,0.85556213,5.45205629,23.87353581,23.95573952,1741928400000.0,4.71834975,7.20369629,153.73492052,160.42389134,1741928400000.0,-136.46815182,0.4480356098332558,0.0023649097185343,0.0057490661009134,1084.677353333332,1,5,4,2025-03-14 05:00:00,-0.708468866233801,0,-1,-0.0023649097185343,1.0598169063293204,0.877810122253608,0.0,0.0,1.0566374556103324
25619,2025-03-14 06:00:00,1741932000000,82141.96,82191.22,81780.08,82038.09,405.28499,1741932000000.0,0.03652862,5.31344558,0.58313581,0.58445787,1741932000000.0,4.00757868,7.58203154,55.89793419,56.10610154,1741932000000.0,-55.52164367,0.4214672249941882,-0.0012645181585636,0.0057328911688431,1067.6414116666651,1,6,4,2025-03-14 06:00:00,-0.7982877723700872,0,-1,0.0012645181585636,1.0611570640521264,0.8767001154142473,0.0,0.0,1.05797359285997
25620,2025-03-14 07:00:00,1741935600000,82038.09,82454.5,81895.95,82170.85,622.58387,1741935600000.0,11.78889649,4.93264356,478.09237732,483.34475626,1741935600000.0,7.80352848,4.46336556,272.07754681,304.33761067,1741935600000.0,179.00714559,20.016258620594744,0.0016182726828477,0.0057457294154953,1060.9414737499983,1,7,4,2025-03-14 07:00:00,1.0341425134979318,0,-1,-0.0016182726828477,1.0594398225631598,0.8781188552620717,0.0,0.0,1.0562615030954703
25621,2025-03-14 08:00:00,1741939200000,82170.84,82647.21,82170.84,82593.44,641.79384,1741939200000.0,2.09088745,5.01846068,228.24378233,234.17939388,1741939200000.0,7.63746304,5.16949245,1258.33389613,1283.0937908,1741939200000.0,-1048.9143969200002,40.83757574841076,0.0051428213289748,0.0058454948018556,1053.416146666665,1,8,4,2025-03-14 08:00:00,-0.4779302556447149,0,-1,-0.0051428213289748,1.0539913128469167,0.8826348636402884,0.0,0.0,1.050829338908376
25622,2025-03-14 09:00:00,1741942800000,82593.45,82940.34,82569.31,82776.5,710.88441,1741942800000.0,0.21593801,4.37086487,8.74553781,8.85345837,1741942800000.0,7.74051849,5.82221416,223.48909114,255.43711018,1741942800000.0,-246.58365181,95.44307943245748,0.0022163987842134,0.0057459495310143,1042.829224583332,1,9,4,2025-03-14 09:00:00,-0.678880405846698,0,-1,-0.0022163987842134,1.0516552477825514,0.8845911344789651,0.0,0.0,1.0485002820392038
25623,2025-03-14 10:00:00,1741946400000,82776.51,83300.01,82672.29,83042.22,1268.05152,1741946400000.0,50.61521954,11.21906258,1719.42023331,1720.91746425,1741946400000.0,22.53651273,8.34094356,599.13320447,608.48584378,1741946400000.0,1112.43162047,61.06650078421776,0.0032100898201783,0.0057632605838334,1064.2272183333318,1,10,4,2025-03-14 10:00:00,3.3515495811138027,-1,-1,-0.0032100898201783,1.0482793399773074,0.887430751474776,0.0,0.0,1.0451345019573755
25624,2025-03-14 11:00:00,1741950000000,83042.21,83348.46,82975.33,83253.15,719.70825,1741950000000.0,0.04751235,9.37864923,1.48182755,1.52039531,1741950000000.0,5.18790127,8.51883606,128.11485632,145.2612355,1741950000000.0,-143.74084019,100.83129131090352,0.002540033250556,0.0057603535540633,1066.8110716666652,1,11,4,2025-03-14 11:00:00,-0.79161395498563,0,-1,-0.002540033250556,1.0456166755978942,0.8896848550910879,0.0,0.0,1.0424798255711005
25625,2025-03-14 12:00:00,1741953600000,83253.15,83526.96,83052.41,83420.87,921.32806,1741953600000.0,0.42269993,9.31681177,16.88158569,16.90799723,1741953600000.0,11.66376507,9.51103825,229.90628808,233.27530134,1741953600000.0,-216.36730411,74.8841939509551,0.0020145784273628,0.0056418038683009,1035.4813141666652,1,12,4,2025-03-14 12:00:00,-0.749079024371742,0,-1,-0.0020145784273628,1.043510198799944,0.8914771950073058,0.0,0.0,1.0403796682035442
25626,2025-03-14 13:00:00,1741957200000,83420.87,83888.0,83040.83,83602.16,1846.65606,1741957200000.0,0.04760145,9.3183936,1.12833511,1.1424348,1741957200000.0,7.98141815,10.0787296,302.33790028,335.21956245,1741957200000.0,-334.07712765,105.14330486273126,0.0021731971867473,0.0052774001977999,1026.7365270833318,1,13,4,2025-03-14 13:00:00,-0.7808727178520701,0,-1,-0.0021731971867473,1.0412424453715698,0.8934145507395451,0.0,0.0,1.0381187180354552
25627,2025-03-14 14:00:00,1741960800000,83602.15,83602.15,82640.59,83524.8,3070.46253,1741960800000.0,4.42804578,8.2668435,478.77286781,482.65699025,1741960800000.0,4.91873739,9.66661659,422.29750616,457.44257773,1741960800000.0,25.21441252,103.08529771337172,-0.0009253349434991,0.0052742032622183,1082.7793029166653,1,14,4,2025-03-14 14:00:00,-0.3254451627374835,0,-1,0.0009253349434991,1.0422059433909265,0.8925878430367152,0.0,0.0,1.0390793255607538
